label	url
db x-tr.MSCI Malaysia Idx. ETF Inhaber-Anteile 1C	/fonds/wkn/DBX0GW
db x-tr.MSCI Mexico Index ETF Inhaber-Anteile 1C	/fonds/wkn/DBX0ES
db x-tr.MSCI Paci.ex Japan ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1AF
db x-tr.MSCI Russia C.I.U.ETF Inhaber-Anteile 1D	/fonds/wkn/DBX1RC
db x-tr.MSCI TAIWAN Index ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1MT
db x-tr.MSCI Thailand Idx.ETF Inhaber-Anteile 1C USD	/fonds/wkn/DBX0GY
db x-trackers ATX UCITS ETF (DR) 1C	/fonds/wkn/DBX0KJ
db x-trackers CAC 40 UCITS ETF (DR) 1D	/fonds/wkn/DBX1AR
db x-trackers CSI300 UCITS ETF 1C	/fonds/wkn/DBX0M2
db x-trackers DAX UCITS ETF (DR) - Income 1D	/fonds/wkn/DBX0NH
db x-trackers DAX UCITS ETF (DR) 1C	/fonds/wkn/DBX1DA
db x-trackers db Commodity Booster DJ-UBSCI UCITS ETF (EUR) 	/fonds/wkn/DBX0CZ
db x-trackers db Commodity Booster Light Energy Benchmark UC	/fonds/wkn/DBX0B4
db x-trackers db Hedge Fund Index UCITS ETF (EUR) 1C	/fonds/wkn/DBX1A8
db x-trackers DBLCI - OY Balanced UCITS ETF (EUR) 1C	/fonds/wkn/DBX1LC
db x-trackers Euro Stoxx 50 ex Financials UCITS ETF (DR) 1D	/fonds/wkn/DBX0NE
db x-trackers Euro Stoxx 50 Short Daily UCITS ETF 1C	/fonds/wkn/DBX1SS
db x-trackers Euro Stoxx 50 UCITS ETF (DR) - Income 1D	/fonds/wkn/DBX0GJ
db x-trackers Euro Stoxx 50 UCITS ETF (DR) 1C	/fonds/wkn/DBX1ET
db x-trackers Euro Stoxx 50 UCITS ETF (DR) 1D	/fonds/wkn/DBX1EU
db x-trackers Euro Stoxx Select Dividend 30 UCITS ETF (DR) 	/fonds/wkn/DBX1D3
db x-trackers FTSE 100 Short Daily UCITS ETF 1C	/fonds/wkn/DBX1AV
db x-trackers FTSE 100 UCITS ETF (DR) - Income 1D	/fonds/wkn/DBX1F1
db x-trackers FTSE 100 UCITS ETF (DR) 1C	/fonds/wkn/DBX0NF
db x-trackers FTSE 250 UCITS ETF (DR) 1D	/fonds/wkn/DBX1F2
db x-trackers FTSE All-Share UCITS ETF (DR) 1D	/fonds/wkn/DBX1FA
db x-trackers FTSE China 25 UCITS ETF 1C	/fonds/wkn/DBX1FX
db x-trackers FTSE EPRA/NAREIT Developed Europe Real Estate 	/fonds/wkn/DBX0F1
db x-trackers FTSE MIB UCITS ETF (DR) 1D	/fonds/wkn/DBX1MB
db x-trackers FTSE Vietnam UCITS ETF 1C	/fonds/wkn/DBX1AG
db x-trackers II Emerging Markets Liquid Eurobond UCITS ETF 	/fonds/wkn/DBX0AV
db x-trackers II EONIA UCITS ETF 1C	/fonds/wkn/DBX0AN
db x-trackers II EONIA UCITS ETF 1D	/fonds/wkn/DBX0A2
